playlist,track_name,artist,album,release_date,popularity,track_id
Bollywood Top 50,Mere Rashke Qamar,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan, Tanishk Bagchi, A1 Melody Master-Fana, Manoj Muntashir",Baadshaho,2017-08-19,62,4sNiMTu47WkUgW87qeUlWF
Bollywood Top 50,Pareshaan,"Amit Trivedi, Shalmali Kholgade, Kausar Munir",Ishaqzaade,2012-04-12,51,5XXJqs7f42R8PAY4Xcr0ax
Bollywood Top 50,Tera Chehra,Adnan Sami,Tera Chehra,2002-10-07,62,14uXhHNINQqjl2hngD21s9
Bollywood Top 50,,,,0000,0,19jkQ3QCc46mD7EAeThp5E
Bollywood Top 50,"Itni Si Baat Hain (From ""Azhar"")","Pritam, Arijit Singh, Antara Mitra, Manoj Yadav",Ultimate Love Songs - Arijit Singh,2020-05-19,72,4OEBP1iwGmLtcM8UKRLm80
Bollywood Top 50,Hosanna,"A.R. Rahman, Leon D'souza, Suzanne D'Mello",Ekk Deewana Tha (Original Motion Picture Soundtrack),2012-01-04,57,5NChQ2tXB9q9D8kdkLTWOL
Bollywood Top 50,Har Kisi Ko (Female),"Arijit Singh, Neeti Mohan, Chirantan Bhatt, Kalyanji-Anandji, Manoj Yadav",Boss,2013-09-10,58,7FPbxfwWa2gzB9ePX19I5z
Bollywood Top 50,"Saanson Ko (From ""Zid"")","Shaarib Toshi, Arijit Singh","Saanson Ko (From ""Zid"")",2014-11-15,65,1HzNbxPRn9onoxxeZByHYJ
Bollywood Top 50,Meri Jaan,"Sanjay Leela Bhansali, Neeti Mohan",Gangubai Kathiawadi,2022-02-18,61,4iEGv5Ne6HuCkFCjzxdWQK
Bollywood Top 50,Allah Waariyan,"Shafqat Amanat Ali, Arko Pravo Mukherjee",Yaariyan,2013-12-09,57,6YYVzVapUF3UnZQ0igasl3
Bollywood Top 50,Soch Liya,"Mithoon, Arijit Singh, Manoj Muntashir",Radhe Shyam,2022-03-12,47,4hPxFf3Rd18BRtTYRcqZir
Bollywood Top 50,Woh Ladki Hai Kahan,"Shaan, Kavita Krishnamurthy",Dil Chahta Hai,2001-06-22,65,2tO0QPdCA0jgDBshTuYYkc
Bollywood Top 50,,,,0000,0,6pzlnyHTVYi5FOmrgOmC95
