playlist,track_name,artist,album,release_date,popularity,track_id
Bollywood Top 50,Tum Se Hi,"Pritam, Mohit Chauhan, Irshad Kamil",Jab We Met,2007-09-21,76,7eQl3Yqv35ioqUfveKHitE
Bollywood Top 50,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh, Sachet-Parampara","Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",2019-06-03,52,6aPMWbbdhDhiJHlknZb9Yx
Bollywood Top 50,Pal Pal,"Afusic, AliSoomroMusic",Pal Pal,2025-02-17,72,4LMlVCXHJtCE9abhmn0mYo
Bollywood Top 50,Khamoshiyan,"Jeet Gannguli, Arijit Singh, Rashmi Virag",Khamoshiyan (Original Motion Picture Soundtrack),2014-12-29,70,6zCQF5tu7HVwU9shhKqiuF
Bollywood Top 50,"Iktara (From ""Wake Up Sid"")","Amit Trivedi, Kavita Seth, Amitabh Bhattacharya",Perfect 10: Love Story,2012-01-20,33,0RJ7HhnQxJEOpGC5Htmez4
Bollywood Top 50,Tu Jaane Na,"Atif Aslam, Pritam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),2009-11-06,69,4iFPsNzNV7V9KJgcOX7TEO
Bollywood Top 50,Raabta,"Pritam, Arijit Singh",Agent Vinod,2012-02-24,74,6FjbAnaPRPwiP3sciEYctO
Bollywood Top 50,Tujhe Bhula Diya,"Vishal-Shekhar, Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak",Anjaana Anjaani,2010-08-19,68,4r8JqkhpTb5tzSKKHnVJIJ
Bollywood Top 50,Isq Risk,"Sohail Sen, Rahat Fateh Ali Khan, Irshad Kamil",Mere Brother Ki Dulhan,2011-09-08,65,0rxEPf4Y6uBmV3hkrV340a
Bollywood Top 50,"Sanam Re (From ""Sanam Re"")","Mithoon, Arijit Singh",Love Forever With Arijit Singh,2017-06-07,59,3XWBGyt7m2rZAjEj0awWnw
Bollywood Top 50,Judaai,"Sachin-Jigar, Rekha Bhardwaj, Arijit Singh, Priya Saraiya",Badlapur (Original Motion Picture Soundtrack),2014-12-09,66,2MsGTWvf7dcjKbI0WTq6Pz
Bollywood Top 50,Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Tamasha,2015-10-16,71,3hkC9EHFZNQPXrtl8WPHnX
Bollywood Top 50,Aye Khuda,Salim Merchant,Paathshaala,2010-03-15,58,1vgVsR5rkXGP4NmUcoroJH
Bollywood Top 50,Ilahi,"Pritam, Arijit Singh",Yeh Jawaani Hai Deewani,2013-03-30,72,5cgKosPPj5Cs9a2JQufUc1
Bollywood Top 50,Kabhi Kabhi Aditi,Rashid Ali,Jaane Tu... Ya Jaane Na,2008-05-21,69,3APdIdF8H0jsxSuGOqXedS
Bollywood Top 50,Suno- Na Sangemarmar,Arijit Singh,Youngistaan,2014-03-05,0,2ESscisnKdryn50fPeHd7O
Bollywood Top 50,Jab Se Tere Naina,"Monty Sharma, Shaan",Saawariya (Original Motion Picture Soundtrack),2007-09-14,69,0gRNu9dVzi5aC87AI1empZ
Bollywood Top 50,Baarish,"Mohammed Irfan, Gajendra Verma, Mithoon",Yaariyan,2013-12-09,66,6ABHr8kYCws5z6gC9Lwith
Bollywood Top 50,Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",Heeriye (feat. Arijit Singh),2023-07-25,75,5PUXKVVVQ74C3gl5vKy9Li
Bollywood Top 50,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Varun Jain, Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",2023-05-22,63,46hzNOUOAlivuCZZ0wE3zi
Bollywood Top 50,Sawan Aaya Hai,"Tony Kakkar, Arijit Singh",Creature 3D,2014-08-16,62,2znIV62IxtbY9gSEPdIAho
Bollywood Top 50,Subhanallah,"Pritam, Sreeram, Shilpa Rao",Yeh Jawaani Hai Deewani,2013-03-30,74,0GQngE2rOYvlKwEQjTAsP8
Bollywood Top 50,"Jeena Jeena (From ""Badlapur"")",Atif Aslam,"Jeena Jeena (From ""Badlapur"")",2015-01-15,0,6h09y5UH6sDRERJALlaJPi
Bollywood Top 50,"Hawayein (From ""Jab Harry Met Sejal"")","Pritam, Arijit Singh","Hawayein (From ""Jab Harry Met Sejal"")",2017-07-26,64,6871FKHumiy1Wfr6vF7Xxt
Bollywood Top 50,"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")","Pritam, KK",Evergreen Hits Of K.K.,2022-06-01,57,7fW9J3EpVWVN1ouv0slAs0
Bollywood Top 50,Challa,"A.R. Rahman, Rabbi, Gulzar",Jab Tak Hai Jaan,2012-10-09,63,6wXPV6dNRAhFavrRaCdMXT
Bollywood Top 50,Kalank (Title Track),Arijit Singh,Kalank - Title Track (Kalank),2019-03-30,0,7G5wpuR61ABrT7R1snos7C
Bollywood Top 50,Dil Mein Ho Tum,Armaan Malik,Why Cheat India,2019-01-12,44,6P10EoBs8D9L7kjwgNkwFN
Bollywood Top 50,Ae Dil Hai Mushkil Title Track,"Pritam, Arijit Singh",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],2016-10-26,72,1UWacd8x8tPPwmrPB1MoBI
Bollywood Top 50,"Bulleya (From ""Ae Dil Hai Mushkil"")","Pritam, Amit Mishra, Shilpa Rao","Bulleya (From ""Ae Dil Hai Mushkil"")",2016-10-26,52,0edt0Ar7ewLkMqy0jUtSWm
Bollywood Top 50,Khairiyat,"Pritam, Arijit Singh",Chhichhore,2019-08-31,70,5O932cZmzOZGOGZz9RHx20
Bollywood Top 50,Humsafar,"Akhil Sachdeva, Mansheel Gujral",Badrinath Ki Dulhania,2017-02-14,68,6TFESXMfJJWwccviaxGAMa
Bollywood Top 50,"Bolna (From ""Kapoor & Sons (Since 1921)"")","Tanishk Bagchi, Arijit Singh, Asees Kaur","Bolna (From ""Kapoor & Sons (Since 1921)"")",2016-03-04,66,3GrCQPpKqKzOcKfMAoqn82
Bollywood Top 50,"Galliyan (Unplugged) [From ""Ek Villain""]","Shraddha Kapoor, Ankit Tiwari",Best Of Shraddha Kapoor,2017-03-03,42,5hhsS7RcsT09Gx1l1ocPqy
Bollywood Top 50,Duaa,"Vishal-Shekhar, Nandini Srikar, Arijit Singh",Shanghai,2012-05-04,60,606dT4oMKQc9uDUv7ADy97
Bollywood Top 50,Tu Hai Ki Nahi,"Ankit Tiwari, Abhendra Kumar Upadhyay",Roy,2015-01-09,67,4brSaQIT3bnnE41D042fgL
Bollywood Top 50,,,,0000,0,16BGhwv8wYXkv2mMJF7ryv
Bollywood Top 50,,,,0000,0,3hp6JfJIxkv3sl7E6p7DQj
Bollywood Top 50,Manali Trance,"Yo Yo Honey Singh, Neha Kakkar",The Shaukeens,2018-08-07,0,4JebLCO8mRNgLCb9iNQwNW
Bollywood Top 50,Naina,Arijit Singh,Dangal,2016-12-14,0,6sKPX8s8UsjGYP6Wt1uwhZ
Bollywood Top 50,O Saiyyan,"Ajay-Atul, Roop Kumar Rathod",Agneepath (Original Motion Picture Soundtrack),2011-12-16,53,1sL8hnnZaB2Xzm1J66y4Tt
Bollywood Top 50,"Ya Rabba (From ""Salaam-E-Ishq"")",Kailash Kher,Best Of Kailash Kher,2017-07-06,57,7KKRPM4fUsfCkJnd1zPhHf
Bollywood Top 50,Main Hoon Hero Tera (Sad Version),"Armaan Malik, Amaal Mallik",Main Hoon Hero Tera (Sad Version),2015-09-14,40,7AILi7PCizdNrnOcbAkDmo
Bollywood Top 50,Tera Ban Jaunga,"Akhil Sachdeva, Tulsi Kumar, Kumaar",Kabir Singh,2019-06-14,70,3oWxFNsXstcancCR1wODR4
Bollywood Top 50,Zinda,Amit Trivedi,Lootera,2013-05-29,53,1gEHNfJRSXpDVaEicwRRfe
Bollywood Top 50,Medley: Kehna Galat Galat / Halka Halka Suroor,"Madhur Sharma, Nusrat Fateh Ali Khan",Medley: Kehna Galat Galat / Halka Halka Suroor,2021-12-01,0,78CHk5OPRMsm30e5q9Jm8h
Bollywood Top 50,Ke Bin Tere,Mithoon,Aggar: Passion Betrayal Terror,2007-07-30,36,2o4xleLpqueckpCnHbVFvU
Bollywood Top 50,"Tera Deedar Hua (From ""Jannat 2"")","Pritam, Anupam Amod, Rahat Fateh Ali Khan",Best of Me Pritam,2013-02-01,35,36rdBb7kFXXYlrkIDT2A00
Bollywood Top 50,Teri Deewani,"Kailash Kher, Paresh Kamath, Naresh Kamath",Kailasa,2006-02-24,75,2iNqdCchlUZEgjJbQyZf8T
Bollywood Top 50,Jaane Nahin Denge Tujhe,Sonu Nigam,3 Idiots,2009-11-09,0,19SF5nItZDNoGKFq6uoPNB
Bollywood Top 50,,,,0000,0,2EM2vuV1jMHPQZ9SUJSB39
Bollywood Top 50,Sunn Raha Hai (Male Version),Ankit Tiwari,Aashiqui 2,2013-04-06,72,5PvwPy5eRO8BPwpRzCHK3D
Bollywood Top 50,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",Samjhawan,2014-06-19,71,0rk2X5TAhraBC5aCIXK2Rq
Bollywood Top 50,Pal,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole",Pal,2018-09-14,69,5G7pZ8G8NFvS1MQ9H4L7dC
Bollywood Top 50,Hasi - Male Version,"Ami Mishra, Kunaal Vermaa",Hamari Adhuri Kahani (Original Motion Picture Soundtrack),2015-05-21,74,32765xcLM1fd6wQIpkN9A0
Bollywood Top 50,Abhi Mujh Mein Kahin,"Ajay-Atul, Sonu Nigam",Agneepath (Original Motion Picture Soundtrack),2011-12-16,63,73y649QhnXdcm6fRdvfraO
Bollywood Top 50,"Mere Nishaan (From ""Oh My God"")","Kailash Kher, Meet Bros Anjjan",Best Of Kailash Kher,2017-07-06,55,7y2LdSannuZhlHK3eTOyly
Bollywood Top 50,Khwahishein,"Salim–Sulaiman, Shreya Ghoshal",Heroine (Original Motion Picture Soundtrack),2012-06-24,37,31TxQlV1owDhlyFiJvMfuW
Bollywood Top 50,"Tum Tak (From ""Raanjhanaa"")","A.R. Rahman, Javed Ali, KIRTI SAGATHIA, Pooja AV",Piya Milenge,2013-05-31,46,1aHS6fpEmaGp0U5r4fQNu0
Bollywood Top 50,Tujh Mein Rab Dikhta Hai,"Salim–Sulaiman, Roop Kumar Rathod, Jaideep Sahni",Rab Ne Bana Di Jodi,2008-11-06,71,2LcXJP95e4HKydTZ2mYfrx
Bollywood Top 50,Mast Magan,"Arijit Singh, Chinmayi",2 States,2014-03-14,71,3uL1IBFhg52VcQqOwAG01E
Bollywood Top 50,Tera Rastaa Chhodoon Na,"Vishal-Shekhar, Amitabh Bhattacharya, Anusha Mani",Chennai Express,2013-07-03,66,7cLGKaJXLFpUU7Up34vVr1
Bollywood Top 50,Soch Na Sake,Arijit Singh,Airlift,2015-12-17,45,71rvcGbKcdAkbVJSrsAsh7
Bollywood Top 50,Janam Janam,"Pritam, Arijit Singh, Antara Mitra",Dilwale (Original Motion Picture Soundtrack),2015-11-17,71,4km0RUkMMFdx8iDuq36o2w
Bollywood Top 50,Moh Moh Ke Dhaage (Female),"Anu Malik, Monali Thakur, Varun Grover",Dum Laga Ke Haisha,2015-02-09,60,7uubRr0u9Zxc1Y84hEn7Xf
Bollywood Top 50,Moh Moh Ke Dhaage (Male),"Anu Malik, Papon, Varun Grover",Dum Laga Ke Haisha,2015-02-09,58,189DQylImZ1hGZaIpAQUzx
Bollywood Top 50,Manwa Laage,"Shreya Ghoshal, Arijit Singh",Happy New Year,2014-09-26,62,3H43T5swYywvcdCBFiDgW6
Bollywood Top 50,Mileya Mileya,"Rekha Bhardwaj, Jigar Saraiya, Priya Andrews",Happy Ending (Original Motion Picture Soundtrack),2014-10-21,0,2IarWd16hKAvXU8vnEunVb
Bollywood Top 50,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma, Kunaal Vermaa","Malang (Title Track) [From ""Malang - Unleash The Madness""]",2020-01-16,63,25MPTnqXQB1H6OkwSYUXWx
Bollywood Top 50,Bol Do Na Zara,"Armaan Malik, Amaal Mallik, Rashmi Virag",Azhar,2016-04-07,61,6eO9LvEiMqh1CAsa6y3wXP
Bollywood Top 50,Phir Mohabbat,"Mohammed Irfan, Arijit Singh, Saim Bhat",Murder 2,2011-05-30,68,2b2HutIDmoeBnnKRWDLAtV
Bollywood Top 50,Kaun Tujhe (Armaan Malik Version),"Armaan Malik, Amaal Mallik",Kaun Tujhe (Armaan Malik Version),2017-01-11,60,5fjIpQa7O7ttgx64TN9lZR
Bollywood Top 50,Kaun Tujhe,"Palak Muchhal, Amaal Mallik, Manoj Muntashir",M.S.Dhoni - The Untold Story,2016-09-17,64,5T2ZZiBMDGh3TZDUbxg4rV
Bollywood Top 50,Shayad,"Pritam, Arijit Singh",Love Aaj Kal (Original Motion Picture Soundtrack),2020-02-14,74,1smFN2CLqGROu0J0UyvDfL
Bollywood Top 50,"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")","Darshan Raval, Rochak Kohli","Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"") - Single",2019-01-08,49,3IOgP2PSCTdoAID7VmMGEh
Bollywood Top 50,,,,0000,0,4JQxGJ8jsKW8pOUVoAgOZr
Bollywood Top 50,Main Rahoon Ya Na Rahoon,"Amaal Mallik, Armaan Malik, Rashmi Virag",Main Rahoon Ya Na Rahoon,2015-11-24,68,6f3ANRNQ8nCiPZ6VqXqq93
Bollywood Top 50,Kyun Main Jaagoon,Shafqat Amanat Ali,Patiala House,2011-01-07,58,6wsMVa2M6Ktea2UbnVoMvO
Bollywood Top 50,Dil Kyun Yeh Mera,KK,Kites,2010-03-29,59,5nHwX7e5XHnie22nuTFgda
Bollywood Top 50,"Ijazat (From ""One Night Stand"")","Meet Bros., Arijit Singh",Love Forever With Arijit Singh,2017-06-07,57,3JUmNYQyJKeRq2a3RR8K71
Bollywood Top 50,"Pani Da Rang Male (From ""Vicky Donor"")",Ayushmann Khurrana,Vicky Donor,2012-04-04,0,4kaLkst9lT3sQ5Crgxs3ic
Bollywood Top 50,"Proper Patola (From ""Proper Patola"") (feat. Badshah)","Diljit Dosanjh, Badshah",Proper Patola,2013-08-09,53,1J2LcFOhhXbgn54CjxZz25
Bollywood Top 50,Blue Eyes,Yo Yo Honey Singh,Blue Eyes,2013-11-08,72,7wW9scVNLYFLsmBb1yAUmS
Bollywood Top 50,Love Dose,Yo Yo Honey Singh,Desi Kalakaar,2014-09-26,73,1QZRCi2Z1DQQaR6bGAzhtN
Bollywood Top 50,Brown Rang,Yo Yo Honey Singh,Chaar Ikke,2018-07-10,40,3JbIyrSNumxS5LHpAvLYF5
Bollywood Top 50,Angreji Beat,"Yo Yo Honey Singh, Gippy Grewal",Chaar Ikke,2018-07-10,39,377GChk68wFN4vwL5xUTEy
Bollywood Top 50,Amplifier,Imran Khan,Amplifier,2009-07-27,0,3f8t2LZGYtdNQh8SNEiZcG
Bollywood Top 50,Udd Gaye - Bacardi House Party Sessions,Ritviz,Udd Gaye (Bacardi House Party Sessions),2017-11-27,0,5ZsAhuQ24mWHiduaxJqnhW
Bollywood Top 50,"Main Rang Sharbaton Ka (From ""Phata Poster Nikhla Hero"")","Atif Aslam, Chinmayi, Pritam",Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),2013-09-10,0,2IEhtVeM9TVql8fZdKdlo9
Bollywood Top 50,Mere Bina,"Pritam, Nikhil D'Souza",Crook (Original Motion Picture Soundtrack),2010-09-03,71,4rSmmC6OYmjVOYxr8ruVWN
Bollywood Top 50,Muskurane - Romantic,"Jeet Gannguli, Arijit Singh, Rashmi Virag",Citylights (Original Motion Picture Soundtrack),2014-05-12,68,6fW78cd0p3ZDUzoqvx2Xqe
Bollywood Top 50,Shukran Allah,"Salim–Sulaiman, Sonu Nigam, Shreya Ghoshal, Salim Merchant",Kurbaan (Original Motion Picture Soundtrack),2009-10-15,61,3nKEiJUeaWn8q2O9I1xwlB
Bollywood Top 50,Titliaan,"Afsana Khan, Avvy Sra, Harrdy Sandhu, Sargun Mehta",Titliaan,2020-11-09,61,1980E4Grgu5xAhNbFZ1mb1
Bollywood Top 50,Paniyon Sa,"Rochak Kohli, Atif Aslam, Tulsi Kumar","Paniyon Sa (From ""Satyameva Jayate"")",2018-07-12,67,2si0ZNx4yRbggTvrIom8A2
Bollywood Top 50,Kabira,"Pritam, Tochi Raina, Rekha Bhardwaj",Yeh Jawaani Hai Deewani,2013-03-30,74,4bD9z9qa4qg9BhryvYWB7c
Bollywood Top 50,Bin Tere,"Vishal-Shekhar, Shafqat Amanat Ali, Sunidhi Chauhan",I Hate Luv Storys (Original Motion Picture Soundtrack),2010-05-25,72,3bZPdEskcnMdepwCaDSJRl
Bollywood Top 50,"Enna Sona (From ""OK Jaanu"")","A.R. Rahman, Arijit Singh","Enna Sona (From ""OK Jaanu"")",2017-01-04,56,1Wf5q34m4hTnAxCljiAonb
Bollywood Top 50,Mar Jawaan,"Shruti Pathak, Salim Merchant",Fashion,2008-09-19,55,0ErXZ1NMqOEFGJPQvU9OKF
Bollywood Top 50,Humdard,"Arijit Singh, Mithoon",Ek Villain,2014-05-28,67,1OEmd2iXU8pWG7CrKNpGUg
Bollywood Top 50,Humnava Mere,"Jubin Nautiyal, Manoj Muntashir",Humnava Mere,2018-05-23,72,0loZn1c5heXie7OAtvK6nH
Bollywood Top 50,Tum Ho,"Mohit Chauhan, Suzanne D'Mello",Rockstar,2011-10-01,65,7uNnlVit5qDvfOje0pqICF
Bollywood Top 50,Tum Mile,"Pritam, Neeraj Shridhar",Tum Mile (Original Motion Picture Soundtrack),2009-09-08,73,1EjxJHY9A6LMOlvyZdwDly
Bollywood Top 50,Tune Jo Na Kaha,"Pritam, Mohit Chauhan, Sandeep Shrivastava",New York,2009-06-10,65,0pw3p4gf5homOkvOGOJulF
Bollywood Top 50,Ye Tune Kya Kiya,"Pritam, Javed Bashir",Once Upon Ay Time In Mumbai Dobaara !,2013-07-22,79,2cPUB8EOT6AfJ8oxhyoNXL
Bollywood Top 50,Yeh Jism,Ali Azmat,Jism 2,2012-07-06,60,4sRcdrQrFilYpMIybCwgKU
Bollywood Top 50,Zara Zara,Omkar,Zara Zara,2019-09-11,0,6yOSe7ltby5828c6SwGgno
Bollywood Top 50,Teri Meri,"Rahat Fateh Ali Khan, Shreya Ghoshal",Bodyguard,2011-07-27,63,1HT0RzPuChHC1kWbIplHyw
Bollywood Top 50,Khuda Jaane,"Vishal-Shekhar, KK, Shilpa Rao, Anvita Dutt Guptan",Bachna Ae Haseeno,2008-07-05,74,0gPgdRfB4jdGrlyXS0Vx78
Bollywood Top 50,,,,0000,0,3kjSTFS1tCx3eIRjnYWe5a
Bollywood Top 50,Sajdaa,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma",My Name Is Khan (Original Motion Picture Soundtrack),2010-01-05,0,0Qa9pTZLUC95wJCHGYMIg4
Bollywood Top 50,Kisi Se Pyar Ho Jaye,"Jubin Nautiyal, Gourov-Roshin, Rajesh Roshan, Kumaar, Anand Bakshi",Kaabil,2016-12-22,51,2RIFyeYTPMHesJsWPW2Z8v
Bollywood Top 50,Kaabil Hoon,"Jubin Nautiyal, Palak Muchhal, Rajesh Roshan, Nasir Faraaz",Kaabil,2016-12-22,48,0Bph99neebTJZ6rsIhd0sN
Bollywood Top 50,Shikayatein,"Mohan Kannan, Amitabh Bhattacharya, Amit Trivedi",Lootera,2013-05-29,39,1veNS1osFHTWf2G6q5AbuQ
Bollywood Top 50,Khaabon Ke Parinday,"Alyssa Mendonsa, Mohit Chauhan",Zindagi Na Milegi Dobara,2011-06-06,55,14eotumM24MhIgzidgN3Jx
Bollywood Top 50,"Naina (From ""Omkara"")",Rahat Fateh Ali Khan,Omkara,2006,0,1lYH10ZZQyeeGbYugIvVkH
Bollywood Top 50,Ishq Wala Love,"Vishal-Shekhar, Shekhar Ravjiani, Salim Merchant, Neeti Mohan",Student of the Year (Original Motion Picture Soundtrack),2012-08-31,72,1hQia6rxgfM1ly2hE3StWp
Bollywood Top 50,Jiya Re,"A.R. Rahman, Neeti Mohan, Gulzar",Jab Tak Hai Jaan,2012-10-09,59,21Af1fetSINZpmAS3si8DW
Bollywood Top 50,Tere Mast Mast Do Nain,Rahat Fateh Ali Khan,Dabangg,2010-08-04,61,2WnpXcXoX1vYvERYG3eKlT
Bollywood Top 50,Rehna Tu,"A.R. Rahman, Prasoon Joshi",Delhi-6,2009-01-19,47,5RZbS87YI2wd87SWuO0YAX
Bollywood Top 50,,,,0000,0,0ZHILXmUaVSLEOCWxPQ1ga
Bollywood Top 50,Tera Hone Laga Hoon,"Atif Aslam, Alisha Chinai, Pritam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),2009-11-06,69,0dLbrlAVPPjpPqnYfmJsWk
Bollywood Top 50,Be Intehaan,"Atif Aslam, Sunidhi Chauhan, Pritam",Race 2 (Original Motion Picture Soundtrack),2012-01-25,60,6g0HHWLJwfe2PlbgHi8pBj
Bollywood Top 50,Chand Sifarish,"Jatin-Lalit, Shaan, Kailash Kher, Prasoon Joshi",Fanaa,2006-04-12,71,5EYZZvmNAH5VZCwuzYJqoA
Bollywood Top 50,Bakhuda Tumhi Ho,"Atif Aslam, Alka Yagnik, Pritam",Kismat Konnection (Original Motion Picture Soundtrack),2008-07-18,61,0h73AwuEY2x44cBMOP58fO
Bollywood Top 50,Pee Loon,"Pritam, Mohit Chauhan, Irshad Kamil",Once Upon A Time In Mumbaai,2010-06-29,74,52itZ0w0CydihB2JCZEIft
Bollywood Top 50,,,,0000,0,4BOYIpYF7zTYtAkpjoD687
Bollywood Top 50,Saiyyan,"Kailash Kher, Paresh Kamath, Naresh Kamath",Jhoomo Re,2011-06-03,73,2vR23BjIzpLMtzsyKrM6Mb
Bollywood Top 50,Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan",Rockstar,2011-10-01,70,7F8RNvTQlvbeBLeenycvN6
Bollywood Top 50,,,,0000,0,7lGhrfren1Zpwh0ds0zuUg
Bollywood Top 50,"Thodi Jagah (From ""Marjaavaan"")","Arijit Singh, Tanishk Bagchi, Rashmi Virag","Thodi Jagah (From ""Marjaavaan"")",2019-10-18,68,3f0wz6zcA7XkQiGm0qNF5r
Bollywood Top 50,Vaaste,"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi",Vaaste,2019-04-06,63,0mJTAdmY8olbGQjopDYff3
Bollywood Top 50,Chahun Main Ya Naa,"Palak Muchhal, Arijit Singh",Aashiqui 2,2013-04-06,71,6UgcN95w7vQxkR8sEFmwHG
Bollywood Top 50,Jashn-E-Bahaaraa,"A.R. Rahman, Javed Ali",Jodhaa Akbar (Original Motion Picture Soundtrack),2007-12-31,70,1O5mTSQa0sCce9ghhDqIZl
Bollywood Top 50,Main Tera Dhadkan Teri,"KK, Hard Kaur, Sunidhi Chauhan, Pritam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),2009-11-06,52,2aGnaihxhjYe0aNoxIkvtS
Bollywood Top 50,Shaayraana,"Pritam, Arijit Singh",Holiday (Original Motion Picture Soundtrack),2014-05-30,0,4zrXk2Sj4PCJCOJ9azRZc3
Bollywood Top 50,Dooriyan,"Mohit Chauhan, Pritam",Love Aaj Kal (Original Motion Picture Soundtrack),2009-07-31,0,5F79ZdjOwGOhUKRHx94sr1
Bollywood Top 50,Hale Dil,Harshit Saxena,Murder 2,2011-05-30,72,6GQK4G5o60E8YA18DGpAzv
Bollywood Top 50,Dil Ibaadat,"Pritam, KK",Tum Mile (Original Motion Picture Soundtrack),2009-09-08,74,3Kl8p2PxVf8eAayLwTxOIm
Bollywood Top 50,Bheegi Si Bhaagi Si,"Pritam, Mohit Chauhan, Antara Mitra",Raajneeti (Original Motion Picture Soundtrack),2010-05-12,64,665b3Nss3OQmhTUdB5hBXw
Bollywood Top 50,Tu Hi Mera,"Pritam, Shafqat Amanat Ali",Jannat 2 (Original Motion Picture Soundtrack),2012-03-30,74,1CVqr5LImdmJ1Upt4z08Pm
Bollywood Top 50,O Meri Jaan,"Pritam, KK",Tum Mile (Original Motion Picture Soundtrack),2009-09-08,47,621NCDEU2Pfd5R1oCqnju8
Bollywood Top 50,Tujhe Sochta Hoon,"Pritam, KK",Jannat 2 (Original Motion Picture Soundtrack),2012-03-30,68,47l2Dd3XPBLio3kjbEMyDJ
Bollywood Top 50,Yaariyaan,"Shilpa Rao, Mohan Kannan",Cocktail,2012-06-12,0,0EiZCuVOP3E9MobSidssSC
Bollywood Top 50,Kurbaan Hua,"Salim–Sulaiman, Vishal Dadlani",Kurbaan (Original Motion Picture Soundtrack),2009-10-15,50,1PH0yXNGtSZbL2eufpgFJ4
Bollywood Top 50,"Hardum Humdum (From ""Ludo"")","Pritam, Arijit Singh","Hardum Humdum (From ""Ludo"")",2020-10-31,35,33m7jeZJqPuuV2YZoF5yEs
Bollywood Top 50,Lut Gaye,"Jubin Nautiyal, Tanishk Bagchi, Manoj Muntashir, Nusrat Fateh Ali Khan",Lut Gaye,2021-02-17,63,2ufLEVbzvEcJ3subW8jBUp
Bollywood Top 50,Satisfya,Imran Khan,Satisfya,2013-05-09,65,6HGoVbCUr63SgU3TjxEVj6
Bollywood Top 50,Sawaar Loon,"Monali Thakur, Amit Trivedi",Lootera,2013-05-29,68,29YePgOxuPLfU7uZKxKf6w
Bollywood Top 50,"Aabaad Barbaad (From ""Ludo"")","Pritam, Arijit Singh","Aabaad Barbaad (From ""Ludo"")",2020-10-21,61,0hFUtSsV2itYEUTZGj6w5H
Bollywood Top 50,Masakali,"Mohit Chauhan, A.R. Rahman, Prasoon Joshi",Delhi-6,2009-01-19,64,5iyNH1Dmxif1k4Nl1gMeuh
Bollywood Top 50,Manchala,"Vishal-Shekhar, Shafqat Amanat Ali, Nupur Pant",Hasee Toh Phasee (Original Motion Picture Soundtrack),2014-01-05,62,3zAXHUL5YcYOA41rruvjy4
Bollywood Top 50,,,,0000,0,0zuqABAUKs8WLVq8vCmfst
Bollywood Top 50,Ambarsariya,Sona Mohapatra,Fukrey,2013-05-14,67,4qRcjFkFqSpLBzcbLDt7HL
Bollywood Top 50,,,,0000,0,4fgJe7zBjVXvs8HxtE21Y9
Bollywood Top 50,Aas Paas Khuda,"Vishal-Shekhar, Rahat Fateh Ali Khan",Anjaana Anjaani,2010-08-19,62,3kuxr8U3QynLzyW82p5hYR
Bollywood Top 50,Main Hoon Hero Tera (Armaan Malik Version),Armaan Malik,Hero,2015-08-14,47,7jDKrOCSA26DfGy3ZAVVoI
Bollywood Top 50,Hua Hain Aaj Pehli Baar,"Amaal Mallik, Manoj Yadav, Armaan Malik, Palak Muchhal",Sanam Re,2016-01-04,63,2ygHwkk6BE4o1YKF2jhrFX
Bollywood Top 50,"Koi Jaane Na (Title Track) [From ""Koi Jaane Na""]","Amaal Mallik, Armaan Malik, Tulsi Kumar","Koi Jaane Na (Title Track) [From ""Koi Jaane Na""]",2021-03-27,27,0OMqV4ioczGl1TjaIcs5QQ
Bollywood Top 50,Main Agar Kahoon,"Vishal-Shekhar, Sonu Nigam, Shreya Ghoshal",Om Shanti Om,2007-09-18,67,0iXLwnLmLwn9y54JtBTNxY
Bollywood Top 50,Safarnama,Lucky Ali,Tamasha,2015-10-16,62,6w458kA8WOAIZr1ublxnK9
Bollywood Top 50,Wajah Tum Ho,"Armaan Malik, Baman, Manoj Muntashir",Hate Story 3,2015-11-04,56,4RzaXbufKNBwaFuzJhGur5
